Date,Time,Duration(in hours),Activity
2024-09-02, 20:00, 1   , reading brightspace course and creating github repo
2024-09-03, 09:45, 1.75, team meeting
2024-09-03, 15:00, 1.5 , team meeting during lesson
2024-09-04, 11:00, 3   , group discussion on plan of attack, general requirements and planning
2024-09-05, 10:00, 2   , writing poa: project
2024-09-06, 11:00, 3.5 , writing research 
2024-09-09, 10:30, 0.5 , Standup
2024-09-09, 11:00, 2.25, Game speed and graphics research
2024-09-09, 14:30, 2   , Create graphics SDL2 poc
2024-09-10, 12:30, 1   , preperations for meeting with client
2024-09-10, 13:30, 0.5 , Meeting with Bob
2024-09-11,  9:15, 0.5 , Meeting with team
2024-09-11, 10:00, 4   , Spent time researching sprites; dealing with stupid sprite sheets; and creating the first animation poc
2024-09-12, 09:00, 1   , Spent time restructuring animation poc to use a sprite atlas
2024-09-12, 09:00, 6   , Did research on facade pattern and how people use it in game engines; also spent time creating a poc where there very little SDL structs used anymore
2024-09-13, 11:00, 1   , Spent time comparing and researching the different ways to implement a facade patter.
2024-09-22, 13:00, 3   , Researched different ways to make a facade pattern and poc of Bridge pattern.
2024-09-25, 09:15, 1   , Weekly team meeting
2024-09-25, 10:15, 6   , Researched different ways to build an input system; thought through a design for a more advanced implementation of an Input system
2024-09-26, 10:00, 2   , Implemented the first version of the json parser and DefinedAction classes
2024-09-26, 12:00, 1.5 , Team meeting and standup
2024-09-28, 13:00, 2   , Worked on input system
2024-09-28, 13:00, 2   , Worked on input system
2024-09-30, 13:00, 3   , Discussed Input and Event system with wouter and am now making an entirely different system
2024-10-02, 09:00, 6   , weekly standup meeting and spent the rest of the day working on the input system doing research and trying different implementations.
2024-10-03, 09:30, 1.5 , Project lesson 
2024-10-07, 09:30, 2   , Worked on Events and attended project meeting with Bob.
2024-19-09, 09:00, 5   , Architecture and design
2024-19-11, 09:00, 5.5 , Worked on game engine structure with focus on physics and events.
2024-10-14, 09:00, 2.25, Attending presentations of other groups, conversation with Bob
2024-10-15, 14:00, 3   , Finished Input system and created a simple poc for controller reading
2024-10-16, 08:00, 6   , worked with team; fixed origin difference sdl and box2d
2024-10-17, 15:00, 2   , Project work on input system
2024-10-22, 09:00, 5   , Project work and physics system design
2024-10-24, 09:00, 4   , Project work and physics system design
2024-10-24, 16:00, 3   , Render system design and implementation
2024-10-25, 16:00, 2.25, Finished first working prototype of render system
2024-10-27, 14:00, 3   , Created a functioning animation system for the game engine
2024-10-28, 09:00, 4   , Standup; Worked on rendering system en trying to create a simpel render control script
2024-11-01, 11:00, 4   , worked on class_diagram/design and documentation
2024-11-01, 20:00, 4   , worked on and finished first version of particle system
2024-11-03, 11:00, 3   , working on documentation
2024-11-04, 09:00, 1.5 , assessment project
2024-11-04, 11:00, 5   , worked with ronan on level loading and created first version of Camera functionality
2024-11-04, 19:00, 3   , finished first version of camera functionality and level loading
2024-11-05, 14:00, 3   , Worked on improving animation systen for player animations worked; scoped timers; fps counter 
2024-11-05, 19:00, 2.5 , In world text rendering and camera funcionality refinements
2024-11-06, 09:00, 7   , Design meetings and test creation and collider creation system work
2024-11-07, 12:00, 5   , Designed and implemented the first version of the UI system (also reviewed prs)
2024-11-08, 12:00, 5   , Designed elements with team and worked on the UI system and UI system test. spent consiberable time helping Angel debug the physics code
2024-11-09, 14:00, 5   , Designed tests simpel tests for each part of the physics system and now a very rudimentary physics system is in place
2024-11-11, 10:00, 5   , worked on project and physics and ui and helped Sean.
2024-11-12, 14:00, 3   , worked on improving memory management and started on getting the text size functionality going
2024-11-13, 09:30, 7   , worked on rendering system getting text size helping sean and working on the ui system and persistance of GameObjects.worked on improving memory management and started on getting the text size functionality going
2024-11-14, 09:00, 7.5 , worked on scene behaviour
2024-11-15, 09:00, 2   , Class with other groups
2024-11-19, 09:15, 7.75, Worked on testGame and the scene system and the player animations 
2024-11-20, 09:00, 7   , Button hover and click functionality 
2024-11-21, 09:15, 4   , worked on project
2024-11-22, 09:00, 7.5 , Worked on bullet bravo game en mainmenu
2024-11-26, 09:00, 7.5 , Finished menu and wrote some more tests.
2024-11-27, 09:00, 7.5 , Wrote and mostly finished camera viewport functionality
2024-11-29, 09:15, 1.25, standup and worked on intergration of different PRs and branches
2024-11-29, 12:00, 4.5 , Worked on camera system and merging differnet branches 
