Date,Time,Duration(in hours),Activity
2024-09-02, 9:00, 1.5, introductary class
2024-09-02, 10:30, 0.5, group discussion on first steps
2024-09-03, 9:15, 2.25, group discussion on first steps / code guidelines
2024-09-03, 15:00, 1.5, first project lecture
2024-09-04, 11:00, 3, group discussion on plan of attack, general requirements and planning
2024-09-05, 10:45, 1, Writing PoA: planning and version control
2024-09-05, 18:00, 0.5, Small bits of feedback to PoA chapter quality
2024-09-05, 21:00, 0.5, Small bits of PoA feedback, added requirements to requirements docu up to userstory 3
2024-09-06, 11:00, 0.5, Updated PoA planning (second quarter)
2024-09-06, 11:30, 0.5, Added requirements up to user story 6
